start	end	text
0	19840	Le chat, il dort. Le chat, il dort. Il dort, le chat. Il dort, le chat. Il avait beaucoup
19840	26800	changé, Camus. Il avait beaucoup changé, Camus. Ces linguistes, ils sont tous fadas.
27800	33840	Ces linguistes sont tous fadas. Ils sont tous fadas, ces linguistes.
33840	41900	Bien sûr, ça vous a fait plaisir de le boire, ce café aux lesquels vous avez fait chauffer.
41900	46700	Bien sûr, ça vous a fait plaisir de le boire, ce café aux lesquels vous avez fait chauffer.
71900	77900	J'y crois. La France, j'y crois très fort, va réussir.
77900	81400	La traduction neuronale est impressionnante.
81400	86600	La traduction neuronale, c'est vrai, est impressionnante.
86600	90100	À Amsterdam, j'y suis allé souvent.
95100	98100	À Amsterdam, j'y suis allé souvent.
98100	101100	J'y suis allé souvent à Amsterdam.
102100	104100	J'y suis allé souvent à Amsterdam.
104100	107100	À moi aussi, elle me parle.
107100	109100	À moi aussi, elle me parle.
109100	111100	Dancer, elle le fera toute sa vie.
111100	113100	Elle le fera danser toute sa vie.
113100	115100	Elle le fera toute sa vie danser.
115100	118100	Elle le fera toute sa vie danser.
118100	122100	Libre, je ne le suis à peu près jamais.
122100	125100	Libre, je ne le suis à peu près jamais.
125100	128100	Libre, je ne le suis à peu près jamais.
128100	131100	Sublime, il l'était.
132100	134100	Sublime, il l'était.
134100	137100	Il l'était sublime.
137100	138100	Il l'était sublime.
138100	140100	Il l'était sublime.
140100	142900	Comédien, il le restera toujours.
142900	144900	Comédien, il le restera toujours.
144900	147900	Il l'était encore comédien.
147900	150600	Il l'était encore comédien.
150600	153900	Il l'était encore comédien.
153900	156900	J'y suis resté longtemps, là-bas.
156900	158900	J'y suis resté longtemps là-bas.
159900	162900	Là-dedans, savez-vous ce qu'il y fait ?
162900	164900	Là-dedans, savez-vous ce qu'il y fait ?
164900	167900	Julie, je parle souvent de sa réussite.
167900	171200	Julie, je parle souvent de sa réussite.
171200	173200	Julie, je parle souvent de sa réussite.
173200	177200	James Key, je parle souvent de lui dans mes cours.
177200	179600	James Key, je parle souvent de lui dans mes cours.
179600	181800	Klaas, ses chaussettes ont disparu.
181800	184800	Klaas, ses chaussettes ont disparu.
185200	189200	Cette équipe, les amateurs ont souvent souffert à cause d'elle.
189200	192200	Cette équipe, les amateurs ont souvent souffert à cause d'elle.
192200	194800	Paul, Pierre s'est battu avec cet idiot.
194800	196800	Paul, Pierre s'est battu avec cet idiot.
196800	200300	Plastic Bertrand, j'ai tous les disques de ce farfelu.
200300	203400	Plastic Bertrand, j'ai tous les disques de ce farfelu.
203400	205800	Les yeux de statues, on a vu par milliers.
205800	208800	Les yeux de statues, on a vu par milliers.
208800	211800	On a vu par milliers des yeux de statue
211800	214300	On avait par milliers des vues de statue.
214300	216300	J'en ai écrit une de lettres.
216300	219300	J'en ai écrit une de lettres.
219300	221800	Que j'en trouve encore une de montre.
221800	224800	Que j'en trouve encore une de montre.
224800	227300	La lecture, ça c'est important.
227300	229300	La lecture, ça c'est important.
229300	231800	La vitesse, c'est dépassé.
231800	234300	La vitesse, c'est dépassé.
234300	236800	Un enfant, c'est précieux et fragile.
236800	239800	Un enfant, c'est précieux et fragile.
239800	241800	Ça bouge beaucoup, un enfant.
241800	244800	Ça bouge beaucoup, un enfant.
244800	247300	Ça travaille fort en étudiant en médecine.
247300	250300	Ça travaille fort en étudiant en médecine.
250300	253300	Ça prend toute son énergie, ce genre de travail.
253300	256300	Ça prend toute son énergie, ce genre de travail.
256800	258300	Des livres, Jean je sais bien
258300	261300	qu'elle lui en a volés beaucoup.
261300	262300	Des livres, Jean je sais bien
262300	264300	qu'elle lui en a volés beaucoup.
264300	265300	Je lui ai donné le livre à Luc.
265300	267300	Je lui ai donné le livre à Luc.
267300	269300	Je lui ai donné le livre à Luc.
269300	272300	Il savait bien qu'elle l'était lourde
272300	273800	d'apporter la valise,
273800	276300	il savait bien qu'elle l'était lourde
276300	278800	d'apporter la valise de inversions.
278800	281300	estaba bien pe tord,
282300	284300	Il savait bien qu'elle l'était lourde
284300	286300	d'apporter la valise.
286300	290300	A Paul, Maril le lui a bien raconté.
290300	294300	A Paul, Maril le lui a bien raconté.
294300	299300	A Paul, Maril le lui a bien raconté.
299300	304300	A Paul, Maril le lui a bien raconté.
304300	307300	Je sais où Paul est allé.
307300	310300	Je sais où Paul est allé.
310300	312300	Je vais lui demander ces pommes-là
312300	314300	à qui il avait l'intention de les vendre.
314300	316300	Je vais lui demander ces pommes-là
316300	318300	à qui il avait l'intention de les vendre.
318300	320300	Je lui jet demandé à qui
320300	322300	ces pommes-là, ils avaient l'intention
322300	323300	de les vendre.
323300	325300	Je lui ai demandé à qui
325300	327300	ces pommes-là, il avaient l'intention
327300	329300	de les vendre.
329300	331300	Je mu ai demandé à qui ces pommes-là,
331300	335300	il avait l'intention de les vendre.
335300	338300	Je lui ai demandé ces pommes-là
338300	340300	à qui ces pommes-là, il avait l'intention de les vendre.
