start	end	text
0	22560	Le chat, il dort, le chat, il dort le chat, il avait beaucoup changé Camus, il avait beaucoup
22560	29440	changé Camus. Célinguiste, ils sont tous fadas. Célinguiste, ils sont tous fadas.
29440	38240	Ils sont tous fadas, célinguiste. Ils sont tous fadas, célinguiste. Bien sûr, ça vous a fait plaisir
38240	44520	de le boire, ce café au lequel vous avez fait chauffer. Bien sûr, cela vous a fait plaisir de
44680	52000	le boire, ce café au lequel vous avez fait chauffer. Elle, je la connais. Je la connais.
52000	65920	Je la connais. Je la connais. Paul, je lui parle souvent. Paul, je lui parle souvent. Je lui parle
65920	75240	souvent, Paul. Je lui parle souvent, Paul. La France, j'y crois. La France, j'y crois très fort,
75240	83760	va réussir. La traduction neuronale est impressionnante. La traduction neuronale, c'est vrai,
83760	96280	est impressionnante. Amsterdam, j'y suis allé souvent. Amsterdam, j'y suis allé souvent.
96280	105960	J'y suis allé souvent, Amsterdam. J'y suis allé souvent, Amsterdam. À moi aussi, elle me parle.
106720	112400	A moi aussi, elle me parle. Disser, elle le fera toute sa vie, elle le fera danser toute sa vie.
112400	120840	Elle le fera toute sa vie danser, elle le fera toute sa vie danser. Libre, je ne le suis à peu près
120840	129280	jamais. Libre, je ne le suis à peu près jamais. Libre, je ne le suis à peu près jamais. Sublime,
129280	143280	il l'était. Sublime, il l'était. Il l'était sublime. Comédien, il le restera toujours. Comédien,
143280	151520	il le restera toujours. Il l'était encore comédien. Il l'était encore comédien. Il l'était encore
152520	163280	comédien. J'ai su rester longtemps là-bas. Là-dedans, savez-vous ce qu'il y fait? Là-dedans,
163280	169320	savez-vous ce qu'il y fait? Julie, je parle souvent de sa réussite. Julie, je parle souvent de sa
169320	175880	réussite. Julie, je parle souvent de sa réussite. Jamski, je parle souvent de lui dans mes cours.
175880	183560	Jamski, je parle souvent de lui dans mes cours. Classe, ses chaussettes ont disparu. Classe, ses chaussettes ont
183560	193720	disparu. Cette équipe, les amateurs ont souvent souffert à cause d'elle. Paul, Pierre s'est battu
193720	204960	avec cet idiot. Plastique Bertrand, j'ai tous les disques de ce farfelu. Les yeux de statue
204960	210200	n'ont pas vu par milliers. Les yeux de statue n'ont pas vu par milliers. On a vu par milliers
210200	216720	des yeux de statue. On avait par milliers des vues de statue. J'en ai écrit une de lettre. J'en ai
216720	223360	écrit une de lettre. Que j'en trouve encore une de montre. Que j'en trouve encore une de montre.
223360	232160	La lecture, ça c'est important. La lecture, ça c'est important. La vitesse, c'est dépassé. La
232160	238480	vitesse, c'est dépassé. Un enfant, c'est précieux et fragile. Un enfant, c'est précieux et fragile.
238480	246320	Ça bouge beaucoup, un enfant. Ça bouge beaucoup, un enfant. Ça travaille fort, un étudiant en
246320	255320	médecine. Ça prend toute son énergie, ce genre de travail. Ça prend toute son énergie, ce genre de
255320	273240	travail. Des livres, Jean, je sais bien qu'elle en a volé beaucoup. Des livres, Jean, je sais bien
273240	278920	qu'elle en a volé beaucoup. Je lui ai donné le livre à Luc. Je lui ai donné le livre à Luc.
279800	285800	Il savait bien qu'elle était lourde à porter la valeise. requested.
287800	289880	« Apole, cette histoire, marie l'a lui a bien racontée. »
291880	303800	Cette histoire a-la lui bien raconté.
305880	308240	Je sais où. Paul est allez.
309080	310440	Je sais où Paul est aller.
311760	314080	Je sais Paul où il est allé.
315440	316680	Je sais Paul où il est allé.
317160	323520	Je lui demandais ces pommes-là à qui il avait l'intention de les vendre.
323520	327600	Je lui ai demandé à qui ces pommes-là.
327600	330360	Il avait l'intention de les vendre.
330360	334280	Je lui ai demandé à qui ces pommes-là, il avait l'intention de les vendre.
334280	337240	Je lui ai demandé ces pommes-là où il les avait trouvé.
337240	339680	Je lui ai demandé ces pommes-là où ils avaient trouvé.
