start	end	text
0	20320	le chan, il d'heure, le chan, il d'heure le chan, il d'heure le chan, il avait beaucoup changé
20320	28320	la nuit, il avait beaucoup changé les camé. C'est un linguiste, ils sont tous vadas. C'est
28320	34980	un linguiste, ils sont tous vadas. Ils sont tous vadas, c'est un linguiste. Ils sont tous vadas, c'est
34980	40320	un linguiste. Bien sûr, ça vous a fait plaisir de le boire, ce qui a fait au l'école,
40320	45520	vous a fait chauffer. Bien sûr, ça vous a fait plaisir de vous le boire, ce qui a fait
45520	57440	le quelle vous a fait chauffer. Elle, je la connais. Elle, je la connais. Je la connais. Elle,
57440	66720	je la connais. Pelle, je lui parle souvent. Pelle, je lui parle souvent. Je lui parle souvent.
66720	75120	Je lui parle souvent. Pelle, je lui parle souvent. Pelle, la France, j'ai croit. La France, j'ai croit très
75120	83640	fort, va réussir. À traduction de Ronald, c'est impressionnant. La traduction de Ronald, c'est
83640	95640	vrai, est impressionnant. À Amsterdam, j'ai su aller souvent. À Amsterdam, j'ai
95640	105440	su aller souvent. J'ai su aller souvent à Amsterdam. J'ai su aller souvent à Amsterdam. Un mois aussi,
105440	111520	elle me parle. Un mois aussi elle me parle. Danser, elle le fera toute sa vie. Elle le fera
111520	119680	danser toute sa vie. Elle le fera toute sa vie danser. Elle le fera toute sa vie danser. Libre, je
119680	127040	ne le suis à peu près jamais. Libre, je ne le suis à peu près jamais. Libre, je ne suis à peu
127040	139000	près jamais. Sublime, il l'était. Sublime, il l'était sublime. Il l'était sublime. Il l'était sublime.
139000	146640	Comédien, il le restera toujours. Comédien, il le restera toujours. Il l'était encore,
146640	153580	comme édien. Il l'était encore, comme édien. Il l'était encore, comme édien. J'ai
153580	161380	su rester longtemps là-bas. J'ai su rester longtemps là-bas. Là dedans, ça avait
161380	166660	vous qui l'y fait. Là dedans, ça avait vous qui l'y fait. Je l'ai, je parle souvent de sa
166660	172580	réussite. Je l'ai, je parle souvent de sa réussite. Je l'ai je parle souvent de sa réussite.
172580	178540	J'aime ce qui, je parle souvent de lui dans mes cours. Je me ski je parle souvent de lui dans mes
178540	186260	cours. Place, je suis recette en disparu. Place, c'est cette en disparu. C'est la équipe.
186500	190660	Les amateurs ont souvent souffert à cause d'elle. Cette équipe les amateurs ont souvent
190660	196620	souffert à cause d'elle. Pire, c'est battu avec cette idou. Pire, c'est battu avec cette
196620	202100	idou. Plastique Bertrand, j'ai tous les disques de ce farfel. L'astique Bertrand, j'ai tous
202100	207220	les disques de ce farfel. Les yeux de statut, on n'avait pas milli. Les yeux de statut, on
207220	212500	n'avait plus par milieu. On n'avait pas milli, il y a des yeux de statut. On n'avait
212500	217860	pas milli, il y a des yeux de statut. J'en ai créé une de l'être. J'en ai écrit une de l'être.
217860	223660	Que j'en trouve encore une de mon train. Que j'en trouve encore une de mon train.
223660	231420	La lecture, c'est assez important. La lecture, c'est important. Elle vitesse, c'est dépassée.
231420	238580	La vitesse, c'est dépassée. Un enfant, c'est précieux et fragile. Un enfant, c'est précieux et fragile.
238580	246340	La bouche beaucoup, un enfant. La bouche beaucoup, un enfant. La travail fort, un étudiant
246340	253140	médecine, travail fort, un étudiant médecine. Ça prend toute son énergie, ce genre de travail.
253140	255940	Ça prend toute son énergie, ce genre de travail.
255940	274740	Des livres, j'en sais bien qu'elle y en a volé beaucoup. Des livres, j'en sais bien qu'elle y en a volé beaucoup.
274740	281260	Je le lui ai donné, le livre a lu. Je le lui ai donné, le livre a lu. Ça avait bien qu'elle
281340	287300	était l'on d'apporter la valise. Il s'avait bien qu'elle était lourd d'avoir apparté la valise.
287300	295580	Un peu, cette histoire, Marie le lui a bien raconté. Un peu, cette histoire, Marie le lui a bien raconté.
295580	306180	Cette histoire, un peu, Marie, la lui a bien raconté. Cette histoire, un peu, Marie, la lui a bien raconté.
306280	315560	Je sais où, pas, les aller. Je sais où pas les aller. Je sais, pas, où les aller.
315560	321260	J'ai demandé, que c'est pas me la, à qui il avait l'intention de les vendre.
321260	325940	Je lui Met le almondsur et qu'il avait l'intention de les vendre.
325940	328980	Alors le levante c'est pas me la, il avait l'intention de les vendre.
329540	334020	Je lui ai demandé à qui c'est pas me la, il avait l'intention de les vendre.
334020	337340	Je lui ai demandé, c'est pas me la, où les avaient trouvé.
337340	340940	Je lui ai demandé, c'est pas me la, où les avaient trouvé.
