Le chat il dort .	The cat is sleeping.
Le chat il dort .	The cat is sleeping.
Il dort le chat .	He sleeps the cat.
Il dort le chat .	He sleeps the cat.
Il avait beaucoup changé Camus .	He had changed Camus a lot.
Il avait beaucoup changé Camus .	He had changed Camus a lot.
Ces linguistes . Ils sont tous fada .	These linguists.  They're all fada.
C'est l' angoisse , ils sont tous pas là .	It's the anguish, they're all not here.
Ils sont tous fades assez longue .	They're all bland enough.
Ils sont tous fades assez linguistique .	They are all quite bland in language.
Bien sûr ça nous a fait plaisir de le voir ce qui a fait au lequel vous avez fait chauffer .	Of course we were pleased to see what made you warm up.
Bien sûr , cela vous a fait plaisir de le boire ce qu' a fait laquelle vous avez fait chauffer .	Of course, it made you happy to drink it what you did to heat it up.
L .	L.
Je la connais .	I know her.
Elle , je la connais .	She, I know.
Je la connais elle .	I know her.
Je la connais .	I know her.
Paul je lui parle souvent .	Paul, I talk to him often.
Ben je lui parle souvent .	Well, I talk to her often.
Je parle souvent Paul .	I often speak Paul.
Je parle souvent .	I speak often.
La France , j' y crois .	France, I believe.
La France je crois très fort la Russie .	France, I believe Russia very strongly.
La traduction neuronale , c'est impressionnant .	Neural translation, it's impressive.
La traduction . Nordahl c'est vrai est impressionnante .	Translation.  Nordahl it's true is impressive.
À Amsterdam .	In Amsterdam.
J' y suis allée souvent .	I've been there often.
Amsterdam , je suis allée souvent .	Amsterdam, I've been there a lot.
J' y suis allée souvent à Amsterdam .	I've been there a lot in Amsterdam.
J' y suis allée souvent à Amsterdam .	I've been there a lot in Amsterdam.
Ah moi aussi elle me parle .	Ah, she's talking to me too.
Ah moi aussi elle me parle .	Ah, she's talking to me too.
Danser . Elle le fera toute sa vie , elle le fera danser toute sa vie .	Dance.  She'll do it all her life, she'll make him dance all her life.
Elle le fera toute sa vie lancée . Elle le fera toute sa vie danser .	She'll do it all her life.  She'll do it all her life dancing.
Libre . Je ne suis à peu près jamais .	Free.  I'm pretty much never.
Libre je ne le suis à peu près . Jamais .	Free I'm pretty much free.  Never.
Libre- , je ne le suis à peu près . Jamais .	Free-rider, I'm pretty much free-rider.  Never.
Sublime , il était .	Sublime, he was.
Sublime , il l' était .	Sublime, he was.
Il était sublime .	He was sublime.
Il était sublime .	He was sublime.
Il était sublime .	He was sublime.
Comédien , il le restera toujours comédien , il le restera toujours .	Comedian, he will always remain comedian, he will always remain comedian.
Il était encore comédien .	He was still an actor.
Il était encore comédien .	He was still an actor.
Il était encore comédien .	He was still an actor.
Je suis restée longtemps là bas .	I stayed there for a long time.
J' y suis resté longtemps bas .	I stayed there for a long time.
Là- dedans . Savez -vous ce qu' il fait .	In there.  Do you know what he's doing.
La danse avait ou ce qui les fait .	The dance had or what makes them.
Julie je parle souvent de sa réussite .	Julie, I often talk about her success.
Julie je parle souvent sa réussite .	Julie, I often talk about her success.
Je dis je parle souvent de sa réussite .	I say I often talk about its success.
James qui je parle souvent de lui dans mes cours .	James, who I often talk about in my classes.
Je me suis qui je parle souvent de lui dans mes cours .	I've told myself who I often talk about in my classes.
Place ses chaussettes ont disparu classe ses chaussettes ont disparu .	Place his socks disappeared class his socks disappeared.
Cette équipe . Les amateurs ont souvent souffert à cause d' elle .	This team.  Amateurs have often suffered because of her.
Cette équipe les amateurs ont souvent souffert à cause d' elle .	This amateur team has often suffered because of it.
Paul Pierce s'est battue avec cet idiot .	Paul Pierce fought with that idiot.
Paul Pierce s'est battu avec cet idiot . Plastic Bertrand , j' ai tous les disques de ce farfelu .	Paul Pierce fought with that idiot.  Plastic Bertrand, I have all the records of this wacko.
Plastic Bertrand , j' ai tous les disques ne se farfelu .	Plastic Bertrand, I've got all the records.
Les de statut , on en a vu parmi les yeux de statut , on avait vu par million .	Status reports, we saw them among the status eyes, we saw them in millions.
On a vu par milliers des yeux de statut .	We've seen thousands of status eyes.
On avait par milliers les vues de statut . J' en ai écrit une lettre .	Thousands of people had status views.  I wrote a letter.
J' en ai écrit l' une de l' être .	I wrote one of them about being one.
Que j' en trouve encore une de montres .	Let me find one more of these watches.
Que j' en trouve encore une de montres .	Let me find one more of these watches.
La lecture ça c'est important .	Reading this is important.
La lecture ça c'est important . La vitesse .	Reading this is important.  Speed.
C'est dépassé .	It's outdated.
La vitesse c'est dépassé . Un enfant c'est précieux et fragile . Un enfant c'est précieux et fragile .	The speed is out of date.  A child is precious and fragile.  A child is precious and fragile.
Ça bouge beaucoup . Un enfant . Ça bouge beaucoup , un enfant .	It moves a lot.  A child.  It moves a lot, a child.
Travaille fort un étudiant en médecine . À Belfort , un étudiant en médecine .	Hard work a medical student.  In Belfort, a medical student.
Ça prend toute son énergie ce genre de travail .	It takes all its energy this kind of work.
La prend toute son énergie ce genre de travail .	The Commission takes all its energy from this kind of work.
